Tax Enquiry,Answer to the query
قمت بفتح سجل تجاري لممارسة نشاط المطاعم منذ 2019 . وليس لدي أي فكرة عن الضرائب في عمان. ما الذي علي فعله لتجنب الغرامات؟,عليك بالتسجيل أولا في جهاز الضرائب وإصدار البطاقة الضريبية. ثم تعبئة الاقرار الضريبي عن السنوات 2019، 2020، 2021، 2022 . ودفع الضريبة عن السنوات الضريبية.
What are the conditions for VAT registration?,"If the annual sales of goods and services exercised by the taxpayer reach 38,500 RO, the taxpayer is entitled to register for VAT."
ما هي شروط التسجيل في ضريبة القيمه المضافه؟,"اذا كانت المبيعات السنوية من السلع والخدمات التي يمارسها الخاضع للضريبه تصل الى 38,500 يحق للخاضع التسجيل في ضريبة القيمه المضافه."
How to make an income tax return?,"After logging in to the portal, the company is selected in the income tax and then the electronic services are opened. Select final returns Service and the return is submitted in it."
كيفية عمل الاقرار في ضريبة الدخل؟,بعد تسجيل الدخول في البوابة الالكترونيه يتم اختيار الشركه في ضريبة الدخل وبعدها تفتح الخدمات الالكترونيه . يتم اختيار خدمه الاقرارات النهائية ويتم تقديم الاقرار فيها.
Can the taxpayer amend in the return if there is a mistake in it?,He must submit an amended return and the inspector will approve the last return submitted.
هل يستطيع الخاضع التعديل في الاقرار اذا حصل خطأ فيه؟,عليه تقديم اقرار معدل وسوف يقوم المفتش باعتماد أخر اقرار تم تقديمه.
What is the difference between a tax card and a VAT certificate?,"The tax card is an evidence that the taxpayer is registered with the Tax Authority and it is required by the following authorities to facilitate transactions such as the bank, the Ministry of Labor for the renewal of workers and the Ministry of Commerce to change the degree of the register and its fees are 10 RO. The VAT certificate is a proof that the taxpayer is registered in the tax, and it is free of charge."
ما الفرق بين البطاقه الضريبة وشهادة ضريبة القيمه المضافه؟,البطاقه الضريبة تكون دليل على ان الخاضع مسجل لدى جهاز الضرائب وتطلبها الجهات التاليه لتسهيل المعاملات لدى الخاضع مثل البنك-وزارة العمل لتجديد العمال وزارة التجاره لتغير درجة السجل وتكون رسومها عشره ريال. شهادة ضريبه القيمه المضافه تكون دليل على ان الخاضع مسجل في ضريبة القيمه المضافه وتكون بدون رسوم .
What are the conditions for institutions that are exempt from income tax?,"If the owner of the institution or one of the partners is free. If there are two Omanis in the Organization whose period of work is not less than six months during the tax year, and they are registered with the Ministry of Labor, provided that the following conditions are met:
 1 The capital is not more than 60 thousand.
  2- The average number of workers does not exceed 25 workers.
  3- The total annual income does not exceed 150 thousand. 
 4 The taxpayer does not have an occupational activity to practice."
